pattern,scenario,order_id,request_id,status_code,response_time,timestamp,result,load_phase
choreography,load_success,order-2ace8755f2bc4f44808eaf572abbfd79,4fa9fac2,200,0.11166787147521973,2025-09-15T10:30:24.845935,"{'order_id': 'order-2ace8755f2bc4f44808eaf572abbfd79', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-7762729947c247ef8c8b51ac83e33710,3da5af7f,200,0.007148027420043945,2025-09-15T10:30:26.963468,"{'order_id': 'order-7762729947c247ef8c8b51ac83e33710', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-f70ddf885b2140c3857e56109cb0e58e,50c748c8,200,0.007256269454956055,2025-09-15T10:30:28.810701,"{'order_id': 'order-f70ddf885b2140c3857e56109cb0e58e', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-f8df9c3687fc4b148d47dc1f5a1e5548,a481a354,200,0.0051190853118896484,2025-09-15T10:30:30.607370,"{'order_id': 'order-f8df9c3687fc4b148d47dc1f5a1e5548', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-ae3da0abf086452f9db5c33b466b5e79,69d81ee3,200,0.005276918411254883,2025-09-15T10:30:32.997980,"{'order_id': 'order-ae3da0abf086452f9db5c33b466b5e79', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-efac5ee850e14231a9445000fc3b76e8,54dc8d8f,200,0.007882118225097656,2025-09-15T10:30:34.588315,"{'order_id': 'order-efac5ee850e14231a9445000fc3b76e8', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-e0bbb51c7c054ddda7465f3954845c25,8b29ba99,200,0.010502815246582031,2025-09-15T10:30:36.986609,"{'order_id': 'order-e0bbb51c7c054ddda7465f3954845c25', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-b331d61716e84f8e96c5e75c6714a28f,f097323b,200,0.017493009567260742,2025-09-15T10:30:38.965739,"{'order_id': 'order-b331d61716e84f8e96c5e75c6714a28f', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-2cbf5e5c64a7471b911fe9adef7a2f75,e944ba18,200,0.009777069091796875,2025-09-15T10:30:40.897178,"{'order_id': 'order-2cbf5e5c64a7471b911fe9adef7a2f75', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-a9aa6bfe74ad4de491503fce2dc67247,b631958b,200,0.007500171661376953,2025-09-15T10:30:43.106518,"{'order_id': 'order-a9aa6bfe74ad4de491503fce2dc67247', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-1b88aa306f494cfa914b93a6202a8c15,9f2622d5,200,0.005413055419921875,2025-09-15T10:30:44.690685,"{'order_id': 'order-1b88aa306f494cfa914b93a6202a8c15', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
choreography,load_success,order-7295c4abe8534b77a002747a2a0b8633,90e2b22c,200,0.006201982498168945,2025-09-15T10:30:46.749999,"{'order_id': 'order-7295c4abe8534b77a002747a2a0b8633', 'status': 'created', 'total_amount': 3500.0, 'message': 'Order created successfully'}",light
